j
1808
1808
1813
1809
1808
1807
1808
1807
1808
1809
1810
1809
1808
1809
1808
1827
1827
1828
1830
1829
1833
1830
1831
1827
1834
1833
1828
1831
1831
1831
1827
1829
1829
1827
1826
1826
1826
1830
1827
1835
1833
1827
1830
1831
1832
1829
1835
1831
1834
1836
1838
1840
1837
1837
1838
1840
1840
1837
1836
1837
1834
1827
1822
1823
1823
1824
1825
1824
1824
1823
1824
1826
1826
1821
1823
1821
1819
1818
1819
1819
1823
1819
1822
1819
1824
1837
1837
1837
1831
1830
1835
1835
1834
1833
1835
1838
1830
1824
1834
1831
1827
1829
1828
1826
1831
1833
1836
1829
1833
1828
1827
1819
1823
1822
1819
1824
1824
1824
1859
1821
1825
1825
1823
1825
1825
1822
1826
1828
1827
1830
1826
1823
1818
1821
1824
1819
1818
1822
1817
1818
1813
1815
1812
1812
1808
1813
1808
1809
1808
1808
1809
1817
1815
1813
1823
1797
1801
1801
1798
1801
1807
1803
1807
1807
1813
1814
1813
1815
1853
1815
1831
1818
1808
1817
1815
1818
1819
1814
1819
1817
1817
1819
1821
1819
1823
1814
1820
1812
1819
1822
1823
1819
1822
1820
1818
1824
1818
1814
1817
1814
1813
1812
1817
1815
1818
1819
1823
1821
1823
1819
1818
1819
1821
1818
1859
1821
1823
1815
1811
1810
1815
1815
1811
1811
1812
1811
1810
1811
1818
1822
1823
1818
1818
1815
1815
1815
1809
1810
1811
1806
1808
1808
1810
1811
1813
1810
1812
1816
1834
1837
1837
1838
1840
1838
1834
1836
1840
1839
1838
1834
1829
1835
1836
1836
1838
1833
1829
1836
1821
1837
1837
1838
1841
1833
1840
1837
1837
1837
1839
1840
1839
1837
1841
1840
1840
1841
1842
1840
1839
1840
1840
1840
1853
1840
1840
1840
1839
1840
1840
1841
1840
1840
1840
1840
1837
1838
1833
1835
1831
1833
1831
1831
1834
1833
1830
1831
1826
1835
1817
1812
1787
1813
1818
1811
1815
1815
1813
1814
1808
1807
1807
1808
1809
1809
1814
1812
1814
1823
1822
1826
1828
1834
1826
1827
1825
1825
1830
1826
1829
1828
1827
1827
1821
1827
1824
1821
1822
1822
1818
1820
1821
1819
1818
1822
1819
1829
1835
1831
1823
1823
1823
1829
1825
1822
1826
1823
1819
1827
1827
1824
1824
1830
1828
1831
1830
1829
1827
1827
1829
1833
1827
1830
1831
1834
1835
1829
1826
1825
1827
1829
1833
1829
1827
1830
1831
1830
1827
1827
1827
1803
1825
1830
1825
1825
1826
1829
1794
1824
1821
1822
1823
1824
1819
1819
1817
1821
1819
1825
1819
1820
1822
1823
1826
1826
1826
1826
1822
1823
1828
1827
1822
1821
1826
1826
1833
1827
1835
1834
1837
1833
1828
1827
1829
1829
1828
1827
1829
1826
1839
1835
1831
1832
1830
1837
1831
1827
1837
1833
1856
1831
1831
1831
1833
1827
1826
1793
1834
1831
1826
1829
1827
1823
1826
1827
1829
1829
1826
1825
1825
1827
1825
1827
1828
1824
1826
1823
1818
1823
1823
1770
1819
1820
1825
1827
1831
1820
1821
1814
1814
1821
1817
1824
1823
1818
1817
1819
1814
1821
1817
1823
1824
1823
1827
1827
1823
1782
1833
1825
1808
1806
1803
1802
1806
1806
1805
1808
1808
1806
1808
1809
1808
1808
1808
1805
1803
1802
1801
1805
1798
1803
1807
1808
1804
1809
1808
1807
1809
1808
1807
1807
1808
1810
1809
1808
1814
1813
1819
1821
1824
1821
1820
1827
1794
1824
1823
1813
1813
1818
1823
1820
1823
1824
1826
1821
1827
1822
1822
1821
1825
1829
1826
1827
1833
1836
1837
1839
1839
1831
1831
1834
1834
1831
1829
1828
1827
1830
1826
1824
1828
1827
1827
1823
1829
1823
1824
1825
1831
1832
1830
1830
1834
1818
1819
1821
1819
1822
1826
1824
1825
1827
1827
1823
1822
1830
1826
1825
1821
1829
1823
1823
1830
1819
1814
1819
1806
1808
1808
1812
1808
1809
1808
1808
1807
1808
1811
1810
1808
1806
1810
1808
1803
1808
1806
1805
1809
1809
1809
1812
1822
1823
1819
1823
1822
1821
1821
1823
1814
1815
1808
1808
1810
1808
1808
1808
1806
1798
1799
1815
1792
1792
1786
1825
1828
1840
1829
1831
1828
1827
1831
1832
1835
1839
1831
1830
1834
1831
1825
1823
1826
1830
1829
1829
1830
1828
1823
1826
1827
1823
1823
1826
1822
1821
1823
1826
1822
1821
1824
1823
1826
1828
1827
1827
1827
1823
1823
1827
1830
1829
1828
1828
1828
1831
1828
1830
1831
1822
1824
1824
1829
1830
1830
1833
1834
1833
1832
1835
1834
1830
1831
1828
1833
1818
1821
1820
1819
1822
1825
1821
1823
1821
1818
1821
1819
1819
1819
1818
1815
1813
1817
1809
1808
1813
1809
1808
1815
1817
1818
1819
1815
1815
1821
1818
1820
1828
1817
1823
1821
1822
1823
1822
1823
1830
1830
1827
1831
1827
1824
1833
1835
1833
1835
1830
1838
1834
1838
1837
1839
1872
1840
1839
1840
1818
1840
1837
1837
1835
1829
1840
1835
1831
1831
1823
1825
1819
1822
1822
1822
1828
1823
1827
1834
1834
1835
1838
1838
1840
1836
1839
1839
1836
1840
1843
1840
1836
1830
1827
1828
1824
1823
1825
1824
1830
1830
1834
1839
1838
1837
1838
1846
1834
1831
1830
1835
1829
1825
1826
1824
1825
1820
1824
1826
1829
1834
1829
1829
1827
1834
1838
1835
1837
1845
1833
1831
1831
1833
1829
1830
1832
1831
1831
1827
1828
1827
1834
1833
1828
1826
1829
1830
1829
1827
1826
1827
1827
1827
1831
1830
1831
1831
1829
1834
1829
1827
1827
1831
1830
1829
1834
1819
1829
1826
1829
1827
1823
1817
1817
1819
1818
1818
1818
1821
1821
1823
1821
1821
1823
1820
1812
1809
1808
1809
1814
1810
1813
1817
1817
1814
1818
1821
1819
1825
1825
1829
1828
1829
1829
1829
1826
1824
1826
1834
1831
1833
1829
1823
1823
1825
1829
1834
1827
1830
1833
1835
1840
1840
1839
1840
1840
1841
1840
1840
1840
1837
1847
1846
1846
1854
1850
1851
1851
