NLj
1821
1825
1824
1829
1828
1836
1825
1823
1824
1830
1827
1819
1817
1817
1820
1821
1826
1824
1836
1839
1840
1840
1840
1830
1838
1837
1835
1835
1834
1834
1830
1828
1840
1827
1827
1830
1837
1839
1825
1821
1825
1839
1834
1833
1834
1830
1832
1829
1838
1840
1837
1830
1838
1837
1830
1833
1840
1833
1839
1834
1840
1834
1833
1829
1839
1830
1830
1840
1840
1834
1835
1833
1837
1840
1836
1833
1840
1840
1835
1829
1835
1831
1829
1831
1840
1831
1838
1831
1824
1824
1821
1829
1823
1825
1829
1839
1840
1831
1831
1833
1831
1827
1828
1825
1834
1835
1831
1827
1838
1838
1828
1838
1834
1823
1822
1830
1822
1821
1818
1827
1822
1826
1826
1838
1840
1835
1834
1831
1830
1827
1827
1827
1835
1831
1837
1838
1842
1831
1845
1841
1830
1831
1840
1831
1833
1826
1840
1827
1833
1839
1843
1814
1835
1839
1840
1840
1838
1840
1821
1834
1823
1826
1836
1840
1840
1842
1842
1838
1831
1831
1825
1823
1827
1824
1830
1824
1822
1829
1837
1838
1830
1843
1843
1834
1837
1834
1833
1838
1838
1836
1847
1853
1847
1843
1851
1853
1841
1840
1838
1842
1840
1835
1843
1837
1847
1859
1851
1852
1850
1855
1854
1842
1842
1841
1845
1845
1843
1846
1857
1856
1859
1855
1862
1861
1855
1853
1850
1839
1841
1841
1850
1849
1845
1855
1847
1845
1841
1831
1848
1839
1840
1840
1803
1840
1841
1841
1855
1856
1855
1847
1855
1847
1842
1853
1845
1840
1843
1840
1855
1845
1843
1854
1847
1845
1852
1850
1843
1840
1840
1840
1840
1841
1841
1842
1838
1835
1844
1843
1845
1837
1845
1845
1840
1841
1841
1855
1850
1846
1856
1844
1843
1847
1849
1853
1840
1837
1840
1840
1839
1837
1837
1831
1833
1830
1839
1837
1839
1826
1838
1834
1828
1833
1833
1835
1835
1830
1841
1830
1831
1829
1834
1840
1843
1854
1854
1846
1842
1843
1841
1840
1838
1837
1840
1840
1840
1833
1839
1839
1833
1833
1839
1838
1840
1836
1829
1827
1826
1834
1831
1831
1831
1840
1845
1838
1838
1837
1837
1836
1829
1827
1835
1835
1834
1835
1834
1835
1828
1849
1827
1830
1830
1839
1831
1835
1829
1837
1832
1835
1831
1840
1841
1839
1835
1872
1835
1830
1829
1827
1838
1839
1855
1844
1847
1850
1844
1841
1829
1832
1837
1825
1826
1824
1837
1826
1834
1837
1840
1843
1840
1840
1841
1840
1838
1835
1808
1824
1824
1826
1840
1840
1840
1846
1841
1840
1840
1833
1840
1831
1834
1834
1835
1833
1839
1840
1847
1847
1840
1840
1838
1831
1826
1829
1826
1828
1827
1834
1839
1839
1840
1837
1838
1840
1830
1831
1835
1830
1833
1833
1840
1827
1831
1840
1827
1827
1827
1837
1833
1827
1827
1828
1827
1829
1834
1835
1841
1845
1843
1838
1846
1842
1835
1830
1833
1834
1834
1836
1834
1837
1835
1840
1835
1834
1833
1840
1836
1830
1826
1826
1825
1825
1826
1827
1837
1837
1840
1834
1838
1826
1823
1827
1828
1820
1823
1829
1825
1826
1826
1837
1826
1827
1830
1835
1834
1829
1823
1825
1819
1807
1826
1829
1826
1827
1835
1839
1834
1828
1837
1840
1837
1834
1839
1822
1835
1835
1844
1834
1837
1829
1811
1835
1831
1825
1829
1843
1839
1839
1839
1839
1839
1837
1840
1840
1843
1840
1842
1840
1837
1840
1846
1847
1843
1841
1850
1841
1844
1840
1845
1826
1835
1837
1840
1837
1875
1829
1833
1834
1816
1830
1838
1833
1831
1829
1837
1826
1824
1825
1829
1837
1845
1826
1840
1834
1827
1840
1833
1837
1838
1844
1843
1840
1835
1833
1837
1831
1828
1827
1833
1834
1830
1825
1835
1834
1827
1851
1849
1837
1839
1840
1831
1835
1833
1841
1833
1837
1840
1842
1845
1843
1840
1839
1839
1840
1834
1835
1838
1840
1846
1849
1849
1850
1850
1853
1841
1840
1840
1831
1833
1835
1839
1828
1834
1833
1840
1846
1840
1839
1840
1841
1839
1839
1835
1836
1834
1838
1845
1846
1843
1846
1843
1839
1827
1825
1829
1825
1825
1824
1835
1825
1828
1827
1837
1840
1840
1838
1837
1837
1829
1828
1835
1837
1838
1840
1845
1847
1846
1847
1846
1853
1839
1835
1837
1833
1837
1829
1840
1835
1840
1846
1839
1840
1835
1841
1840
1832
1831
1826
1830
1835
1831
1835
1846
1851
1847
1843
1849
1857
1818
1839
1861
1850
1847
1823
1852
1847
1842
1851
1840
1839
1840
1844
1840
1836
1831
1827
1834
1834
1835
1840
1852
1850
1851
1853
1852
1844
1839
1842
1845
1839
1840
1824
1851
1843
1851
1853
1840
1840
1841
1849
1845
1845
1838
1838
1838
1846
1840
1841
1831
1840
1840
1839
1840
1877
1842
1842
1838
1839
1842
1845
1838
1846
1838
1828
1828
1826
1834
1824
1833
1825
1829
1847
1839
1844
1840
1835
1836
1814
1846
1846
1846
1846
1850
1849
1843
1842
1851
1855
1840
1840
1850
1840
1839
1838
1843
1840
1843
1853
1853
1851
1847
1842
1843
1840
1840
1840
1850
1846
1842
1841
1843
1843
1841
1843
1847
1850
1846
1854
1839
1841
1840
1842
1837
1840
1840
1853
1850
1848
1845
1843
1845
1846
1841
1841
1847
1844
1844
1846
1843
1851
1841
1841
1843
1834
1834
1835
1830
1834
1832
1842
1835
1837
1840
1845
1845
1844
1838
1839
1840
1838
1835
1831
1840
1839
1847
1847
1847
1846
1853
1849
1842
1840
1839
1836
1839
1839
1844
1840
1840
1841
1851
1856
1851
1843
1847
1843
1842
1840
1830
1835
1829
1834
1842
1841
1843
1841
1842
1843
1830
1833
1839
1831
1830
1829
1840
1835
1838
1840
1855
1853
1854
1840
1840
1837
1834
1831
1834
1837
1840
1840
1846
1848
1846
1846
1845
1849
1840
1840
1845
1840
1840
1839
1844
1839
1831
1839
1830
1829
1826
1833
1837
1829
1821
1824
1825
1827
1828
1827
1840
1840
1839
1840
1837
1840
1829
1825
1829
1839
1840
1842
1841
1845
